Part Name,Description
P3® 750 JCASP SM MT,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket with aerial floodant"
P3® 700 JCASS,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket, flooded for underground"
P3® 625 JCASS,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket, flooded for underground"
P3® 500 JCASST W,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket with co-extruded white stripes, flooded for underground"
P3® 750 JCA,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket"
P3® 625 JCAR,"75 Ohm P3® Trunk and Distribution Cable, black flame retardant PE jacket"
QR® 860 JCAT 3G AJ,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket"
QR® 540 JCAT B,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket with co-extruded blue stripes"
QR® 540 JCAM109,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket with integrated figure 8 self-supporting galvanized solid steel messenger"
QR® 540 JCA SM MT,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket"
QR® 715 JCAT Y,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket with co-extruded yellow stripes"
QR® 540 JCAR,"75 Ohm QR® Trunk and Distribution Cable, black flame retardant PE jacket"
QR® 540 JCASST O,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket with co-extruded orange stripes, flooded for underground"
QR® 715 JCAT G SM MT,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket with co-extruded green stripes"
P3® 750 CA,"75 Ohm P3® Trunk and Distribution Cable, unjacketed"
POWER FEEDER® 625 JCASST 3R,"23 Ohm Power Feeder® Trunk and Distribution Cable, black PE jacket with three co-extruded red stripes, flooded for underground"
P3® 875 CA,"75 Ohm P3® Trunk and Distribution Cable, unjacketed"
P3® 500 JCASS SM MT,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket, flooded for underground"
P3® 625 CA,"75 Ohm P3® Trunk and Distribution Cable, unjacketed"
P3® 500 JCASST G SM MT,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket with co-extruded green stripes, flooded for underground"
P3® 500 JCASP,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket with aerial floodant"
P3® 500 JCAT B,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket with co-extruded blue stripes"
QR® 860 JCASS SM MT,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket, flooded for underground"
QR® 540 JCART R,"75 Ohm QR® Trunk and Distribution Cable, black flame retardant PE jacket with co-extruded red stripes"
QR® 715 JCASP,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket with aerial floodant"
QR® 715 JCASST O SM MT,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket with co-extruded orange stripes, flooded for underground"
P3® 840 JCA,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket"
P3® 625 CA,"75 Ohm P3® Trunk and Distribution Cable, unjacketed"
P3® 750 JCASS SM MT,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket, flooded for underground"
P3® 875 JCA,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket"
P3® 750 JCASP SM MT,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket with aerial floodant"
P3® 750 JCA SM MT,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket"
P3® 500 JCAT R SM MT,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket with co-extruded red stripes"
P3® 625 JCAT G SM MT,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket with co-extruded green stripes"
2273V WHRL RG6 90 1000,"RG 6 Type 90% Braid Plenum Video Coaxial Cable, white jacket, 1000 ft (305 m) reel"
2293V WHRL RG11 95 1000,"RG 11 Type 95% Braid Plenum Video Coaxial Cable, white jacket, 1000 ft (305 m) reel"
"2312K CMRL 1/2"" PLEN TRUNK 2400","PIII® 500 JCAP 1/2” Plenum Trunk and Distribution Coaxial Cable, cream jacket, 2400 ft (732 m) reel"
2285K WHRL RG11 60 1000,"RG 11 Type 60% Braid Plenum Video Coaxial Cable, white jacket, 1000 ft (305 m) reel"
2289K BK RL RG11 TRI 1000,"RG 11 Type 77% Braid Trishield Plenum Video Coaxial Cable, black jacket, 1000 ft (305 m) reel"
2227V WHRL RG6 QD 1000,"RG 6 Type Quad Shield Plenum Video Coaxial Cable, white jacket, 1000 ft (305 m) reel"
